Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Wireless CarPlay & Android Auto Interface – BMW NBT / NBT EVO,wireless-carplay-interface-bmw-nbt-evo,"<p><strong>Wireless Apple CarPlay and Android Auto on your BMW's original iDrive screen.</strong> No new screen and no cutting of factory wiring, and the standard iDrive menus are always one press away.</p><h3>Why drivers choose it</h3><ul><li>Your phone connects wirelessly a few seconds after you start the car</li><li>Full-screen maps, music, calls and messages on the factory 8.8"" or 10.25"" display</li><li>Control it with the iDrive controller, the touchscreen (where fitted) and your steering wheel buttons</li><li>Keeps your factory reversing camera and parking sensor display</li><li>Calls come through the car's own speakers, with a dedicated microphone for clear audio</li></ul><h3>What's included</h3><ul><li>CarPlay and Android Auto interface module</li><li>Plug-in harness for your iDrive version (choose it above)</li><li>External microphone</li><li>USB socket for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>BMW iDrive NBT (approx. 2013–2016) and NBT EVO ID4, ID5 and ID6 (approx. 2016–2019)</li><li>F-series 1, 2, 3, 4 and 5 Series, X1, X3 and X5 with the factory navigation screen</li><li>Many NBT EVO cars can have CarPlay switched on in software instead. We'll tell you if yours can before you buy</li><li>Not sure which iDrive you have? Send us a photo of your screen and we'll tell you in minutes</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,CarPlay Interface,"carplay-android-auto, best-sellers, make:BMW, type:carplay-interface, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-IF-BMW-NBT,,iDrive system,NBT (approx. 2013–2016),,,,,,,,249.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_a37dca29310e41c9a3845bd6232bfa53~mv2.png,1,"BMW widescreen iDrive display showing Apple CarPlay with maps, music and messages",,FALSE,Wireless CarPlay for BMW NBT & NBT EVO | MG Car Audio,"Wireless Apple CarPlay and Android Auto on your BMW's factory iDrive NBT or NBT EVO screen. Keeps iDrive, camera and wheel controls. Fitted in Dublin 12.",,,,,,,,New,TRUE,,,,,
,wireless-carplay-interface-bmw-nbt-evo,,,,,,,,MG-IF-BMW-EVO4,,,NBT EVO ID4 (approx. 2016–2017),,,,,,,,249.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,wireless-carplay-interface-bmw-nbt-evo,,,,,,,,MG-IF-BMW-EVO56,,,NBT EVO ID5 / ID6 (approx. 2017–2019),,,,,,,,249.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Wireless CarPlay & Android Auto Interface – Audi MMI 3G / 3G+,wireless-carplay-interface-audi-mmi-3g,"<p><strong>Bring wireless Apple CarPlay and Android Auto to your Audi's MMI screen</strong> and keep the factory look, the MMI dial and your steering wheel buttons exactly as they are.</p><h3>Why drivers choose it</h3><ul><li>Wireless CarPlay and Android Auto on the original fixed or pop-up MMI screen</li><li>Scroll and select with the MMI rotary dial you already know</li><li>Switch back to MMI navigation, radio and car settings at any time</li><li>Your reversing camera and parking display keep working as before</li><li>Hands-free calls, Siri and Google Assistant through the car's speakers</li></ul><h3>What's included</h3><ul><li>CarPlay and Android Auto interface module</li><li>Plug-in harness for MMI 3G or MMI 3G+ (choose it above)</li><li>External microphone</li><li>USB lead for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>Audi MMI 3G (approx. 2009–2012) and MMI 3G+ (approx. 2012–2016)</li><li>A4 (B8), A5 (8T), A6 (C7), A7 (4G), Q5 (8R) and Q7 (4L), depending on the screen fitted</li><li>MMI 2G and newer MIB-based Audis need a different kit. Ask us and we'll quote the right one</li><li>Send us your reg and a photo of your MMI screen and we'll confirm the fit before you buy</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,CarPlay Interface,"carplay-android-auto, make:Audi, type:carplay-interface, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-IF-AUDI-3G,,MMI system,MMI 3G (approx. 2009–2012),,,,,,,,279.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_499cf02703c84716bc97648b5d9f121d~mv2.png,1,"Audi dashboard screen running Apple CarPlay, with an iPhone held in front of it",,FALSE,Wireless CarPlay for Audi MMI 3G & 3G+ | MG Car Audio,"Wireless Apple CarPlay and Android Auto for Audi MMI 3G and 3G+ screens. Keeps the MMI dial, camera and wheel buttons. Supplied and fitted in Dublin 12.",,,,,,,,New,TRUE,,,,,
,wireless-carplay-interface-audi-mmi-3g,,,,,,,,MG-IF-AUDI-3GP,,,MMI 3G+ (approx. 2012–2016),,,,,,,,279.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Wireless CarPlay & Android Auto Interface – Mercedes-Benz NTG 4.5 / NTG 5,wireless-carplay-interface-mercedes-ntg,"<p><strong>Wireless Apple CarPlay and Android Auto on your Mercedes-Benz factory screen</strong>, controlled with the COMAND dial or touchpad you already use every day.</p><h3>Why drivers choose it</h3><ul><li>Wireless CarPlay and Android Auto on the original Audio 20 or COMAND Online display</li><li>Works with the rotary controller, touchpad and steering wheel buttons</li><li>Original Mercedes menus, radio and car settings stay one press away</li><li>Keeps your factory reversing camera and parking display</li><li>Clear hands-free calls through the car's own speakers</li></ul><h3>What's included</h3><ul><li>CarPlay and Android Auto interface module</li><li>Plug-in harness for NTG 4.5/4.7 or NTG 5/5.1 (choose it above)</li><li>External microphone</li><li>USB lead for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>Mercedes-Benz NTG 4.5 / 4.7 (approx. 2012–2015) and NTG 5 / 5.1 (approx. 2014–2019)</li><li>A-Class (W176), B-Class (W246), C-Class (W204 facelift and W205), CLA (C117), GLA (X156), E-Class (W212), GLC (X253), ML/GLE (W166)</li><li>Many NTG 5.5 and MBUX cars already offer smartphone integration. We'll check yours first</li><li>Send us your reg and a photo of your screen and we'll confirm the fit before you buy</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,CarPlay Interface,"carplay-android-auto, make:Mercedes-Benz, type:carplay-interface, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-IF-MB-NTG45,,Mercedes system,NTG 4.5 / 4.7 (approx. 2012–2015),,,,,,,,279.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_025ff690eb284fd08df1b0ac249caa62~mv2.png,1,Widescreen dashboard display running Android Auto with Google Maps and Spotify,,FALSE,Wireless CarPlay for Mercedes NTG 4.5 & NTG 5 | MG Car Audio,Wireless Apple CarPlay and Android Auto for Mercedes-Benz NTG 4.5 and NTG 5 screens. Keeps COMAND controls and camera. Supplied and fitted in Dublin 12.,,,,,,,,New,TRUE,,,,,
,wireless-carplay-interface-mercedes-ntg,,,,,,,,MG-IF-MB-NTG5,,,NTG 5 / 5.1 (approx. 2014–2019),,,,,,,,279.00,,,TRUE,,,,,,shopify,10,DENY,450,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Wireless CarPlay & Android Auto Interface – Volkswagen MIB2,wireless-carplay-interface-vw-mib2,"<p><strong>Cut the cable: wireless Apple CarPlay and Android Auto for Volkswagen MIB2 screens</strong>, with your touchscreen, steering wheel buttons and reversing camera working as they did from the factory.</p><h3>Why drivers choose it</h3><ul><li>Wireless CarPlay and Android Auto on the original Composition Media or Discover Media screen</li><li>Use the touchscreen and steering wheel buttons as normal</li><li>Original VW radio, navigation and car settings stay available</li><li>Keeps your factory reversing camera and parking display</li></ul><h3>What's included</h3><ul><li>CarPlay and Android Auto interface module</li><li>Plug-in harness for your MIB2 unit (choose it above)</li><li>External microphone</li><li>USB lead for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>Volkswagen MIB2 Composition Media and Discover Media units (approx. 2015–2020)</li><li>Golf (Mk7 / 7.5), Passat (B8), Polo (AW), Tiguan (AD1), Touran (5T) and T-Roc (A1)</li><li>Many MIB2 units already have App-Connect (wired CarPlay and Android Auto) or can have it switched on in software. We check your unit first, and if a software activation or a plug-in wireless adapter will do the job, we'll tell you</li><li>Send us your reg and a photo of your screen and we'll confirm the fit before you buy</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,CarPlay Interface,"carplay-android-auto, make:Volkswagen, type:carplay-interface, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-IF-VW-CM,,MIB2 unit,Composition Media,,,,,,,,229.00,,,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_025ff690eb284fd08df1b0ac249caa62~mv2.png,1,Widescreen dashboard display running Android Auto with Google Maps and Spotify,,FALSE,Wireless CarPlay for VW MIB2 | MG Car Audio,"Wireless Apple CarPlay and Android Auto for VW MIB2 Composition and Discover Media screens. Keeps touch, camera and wheel controls. Fitted in Dublin 12.",,,,,,,,New,TRUE,,,,,
,wireless-carplay-interface-vw-mib2,,,,,,,,MG-IF-VW-DM,,,Discover Media,,,,,,,,229.00,,,TRUE,,,,,,shopify,10,DENY,400,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
"10.25"" Android Screen Upgrade – BMW 3 Series (F30) & 4 Series (F32)",android-screen-upgrade-bmw-f30-10-25,"<p><strong>Swap the standard iDrive display for a crisp 10.25"" widescreen</strong> with wireless Apple CarPlay and Android Auto built in, styled to sit exactly where the original screen was.</p><h3>Why drivers choose it</h3><ul><li>10.25"" anti-glare touchscreen in an OEM-style frame</li><li>Wireless CarPlay and Android Auto, plus Android apps for music and navigation</li><li>Your original iDrive menus and car settings are still there when you need them</li><li>Keeps the iDrive controller, steering wheel buttons and factory reversing camera</li></ul><h3>What's included</h3><ul><li>10.25"" display unit with mounting bracket</li><li>Plug-in harness for your iDrive version (choose it above)</li><li>GPS antenna and external microphone</li><li>USB lead for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>BMW 3 Series (F30/F31/F34) and 4 Series (F32/F33/F36)</li><li>Cars with iDrive CIC (approx. 2012–2013), NBT (approx. 2013–2016) or NBT EVO (approx. 2016–2019)</li><li>Cars with the small non-navigation screen: ask us, as a different harness may be needed</li><li>Send us your reg and a photo of your dash and we'll confirm the fit before you buy</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,Android Screen Upgrade,"carplay-android-auto, screen-upgrades, best-sellers, make:BMW, type:screen-upgrade, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-SCR-BMW-F30-CIC,,Original iDrive,CIC (approx. 2012–2013),,,,,,,,549.00,,,TRUE,,,,,,shopify,6,DENY,1800,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_a37dca29310e41c9a3845bd6232bfa53~mv2.png,1,"BMW widescreen iDrive display showing Apple CarPlay with maps, music and messages",,FALSE,"BMW F30 10.25"" Android Screen with CarPlay | MG Car Audio",10.25-inch Android widescreen for BMW 3 Series F30 and 4 Series F32 with wireless CarPlay and Android Auto. Keeps iDrive and camera. Fitted in Dublin 12.,,,,,,,,New,TRUE,,,,,
